test;wtime;kernel_time;kernel_memory_transfer_time
as20000102.txt;1.331822370;587.146;642.196
ca-AstroPh.txt;6.878159480;4642.61;4883.63
ca-CondMat.txt;6.924209254;4974.94;5267.1
ca-GrQc.txt;1.921618802;889.99;953.509
ca-HepPh.txt;4.033307638;2432.24;2583.49
ca-HepTh.txt;3.366744801;1931.63;2048.32
com-amazon-ungraph.txt;447.006372191;429283;434737
com-dblp-ungraph.txt;216.952036192;201438;205807
email-Enron.txt;8.807517134;5605.96;5977.53
facebook_combined.txt;1.596099460;704.335;758.502
gen1.txt;.559251423;0.095328;0.12736
gen2.txt;.474984858;0.112544;0.145824
gen3.txt;.618343559;0.12288;0.167744
gen4.txt;.608991700;0.335872;0.414144
gen5.txt;.624354384;0.106496;0.144128
gen6.txt;.552976366;0.401312;0.505728
gen7.txt;.574170198;1.69856;1.93245
gen8.txt;.528292154;0.129024;0.175584
graph_long_path.txt;5.906308651;0.093184;0.125536
graph-random-001.txt;10.182114212;1022.45;1140.44
graph-random-002.txt;6.515469674;1329.56;1477.66
loc-gowalla.txt;76.724733922;67462.7;69401.8
